Englisg word,French word,Frequency
abide,respecter,27
about,sur,320
above,au dessus,101
abroad,à l'étranger,20
absence,absence,34
abuse,abuser de,25
according,selon,23
account,Compte,30
accuse,accuser,30
acquainted,connaissance,38
action,action,162
advantage,avantage,52
advice,Conseil,19
affairs,affaires,38
affection,affection,38
affections,affections,24
afraid,peur,25
after,après,305
afterwards,ensuite,29
again,encore,244
alive,vivant,38
almost,presque,136
alone,seul,81
along,le long de,57
already,déjà,63
although,bien que,35
always,toujours,56
ambition,ambition,16
ancient,ancien,59
angel,ange,71
anger,colère,275
another,un autre,249
answer,répondre,259
anything,n'importe quoi,65
apparel,vêtements,26
appear,apparaître,81
appears,apparaît,39
approach,approche,32
argument,argument,38
ariel,Ariel,1
armour,armure,27
aside,de côté,410
asleep,endormi,13
assure,assurer,45
athens,Athènes,0
attend,assister,90
attended,assisté,28
authority,autorité,27
avoid,éviter,26
awake,éveillé,25
awhile,quelque temps,22
banish,bannir,37
barren,Dénudé,31
bassianus,bassianus,0
bastard,Connard,47
battle,bataille,70
beard,barbe,49
bearing,palier,57
bears,ours,84
beast,la bête,37
beaten,battu,36
beauty,beauté,132
because,car,80
become,devenir,124
bedford,Bedford,1
before,avant,489
beggar,mendiant,24
begin,commencer,70
behalf,nom,24
behind,derrière,74
behold,voir,96
being,étant,531
believe,croyez,161
belike,être comme,11
below,au dessous de,29
benefit,avantage,29
besides,outre,30
betray,trahir,37
better,mieux,479
between,entre,184
beyond,au-delà,40
birth,naissance,30
bishop,évêque,77
bitter,amer,64
black,noir,117
blame,faire des reproches,56
bless,bénir,88
blessing,bénédiction,23
blest,heureux,66
blind,aveugle,56
blood,du sang,371
blows,coups,38
blunt,cru,22
blush,rougir,30
bodies,corps,30
bones,des os,37
borne,supporté,77
bottom,bas,30
bought,acheté,43
bound,lié,144
bounty,prime,23
brain,cerveau,55
brains,cerveaux,22
brave,courageux,136
breast,Sein,41
breath,souffle,119
breed,race,43
brief,bref,35
bright,brillant,52
bring,apporter,364
broke,cassé,294
brook,ruisseau,33
brother,frère,263
brought,apporté,178
brows,sourcils,23
burden,fardeau,33
buried,enterré,37
burning,brûlant,42
business,Entreprise,130
cannot,ne peux pas,676
capitol,Capitole,0
captain,capitaine,29
cardinal,cardinal,5
cares,se soucie,26
carry,porter,87
castle,Château,17
catch,capture,64
cause,cause,318
cease,cesser,43
certain,certain,140
chain,chaîne,32
chair,chaise,16
challenge,défi,34
chamber,chambre,56
chance,chance,142
change,changement,162
charge,charge,173
charity,charité,24
chaste,chaste,29
cheek,joue,134
cheer,acclamation,44
chide,gronder,35
chief,chef,93
child,enfant,96
choice,choix,36
church,église,21
cinna,cinna,0
citizen,citoyenne,3
civil,civil,53
claim,prétendre,136
clarence,clarté,2
claud,claud,0
claudio,Claudio,0
clear,clair,42
clifford,Clifford,1
close,proche,79
cloten,cailloter,0
clothes,vêtements,23
clouds,des nuages,35
clown,pitre,7
college,Université,3
colour,Couleur,68
comes,vient,567
comfort,confort,123
coming,venir,100
cominius,cominius,0
command,commander,85
commanded,commandé,24
commend,saluer,61
commercial,commercial,0
commission,commission,27
commit,commettre,25
common,commun,135
companion,un compagnon,19
company,entreprise,81
complete,Achevée,15
complexion,complexion,24
condition,état,30
conduct,conduite,41
confess,avouer,83
conscience,conscience,61
consent,consentement,51
consider,considérer,34
constable,gendarme,6
constant,constant,52
contempt,mépris,20
content,contenu,123
contrary,contraire,20
copies,copies,3
copyright,droits d'auteur,7
could,pourrait,534
council,conseil,9
counsel,Conseil,63
count,compter,118
counterfeit,contrefaire,29
countess,comtesse,1
country,pays,77
courage,courage,45
course,cours,142
court,tribunal,120
courtesy,courtoisie,18
cousin,cousin,97
coward,lâche,36
crave,demander,39
creature,créature,37
credit,crédit,38
cromwell,Cromwell,0
cross,traverser,56
crown,couronne,126
cruel,cruel,55
cunning,ruse,56
cupid,Cupidon,0
curse,malédiction,90
custom,Douane,33
dagger,dague,24
damned,damné,42
dance,Danse,65
danger,danger,56
darkness,obscurité,23
daughter,fille,192
deadly,mortel,41
dearest,très cher,51
dearly,chèrement,20
death,décès,331
deeds,actes,72
defend,défendre,61
degree,diplôme,22
delight,délice,34
deliver,livrer,81
demand,demande,34
denied,refusé,38
depart,partir,33
desert,désert,24
deserve,mériter,55
desire,le désir,162
despair,désespoir,22
